Manufacturer,Year,Mileage
ford,2015,33717.0
ford,2013,119869.0
ford,2019,31586.0
ford,2016,39851.0
ford,2017,137789.0
ford,2019,13230.0
ford,2018,24480.0
ford,2019,13673.0
ford,2018,30002.0
ford,2019,15759.0
ford,2019,13035.0
ford,2018,5440.0
ford,2019,17964.0
ford,2019,13516.0
ford,2019,11437.0
ford,2019,13526.0
ford,2019,16770.0
ford,2019,13269.0
ford,2019,9556.0
ford,2019,12886.0
ford,2014,141595.0
ford,2019,11313.0
ford,2019,11028.0
ford,2015,192108.0
ford,2019,16391.0
ford,2017,81660.0
ford,2019,11763.0
ford,2017,34165.0
ford,2019,27689.0
ford,2019,16625.0
ford,2016,56995.0
ford,2019,27794.0
ford,2019,21055.0
ford,2016,116730.0
ford,2019,28117.0
ford,2019,15964.0
ford,2016,76572.0
ford,2019,23795.0
ford,2019,18982.0
ford,2016,29367.0
ford,2019,12260.0
ford,2016,116519.0
ford,2019,12688.0
ford,2016,96151.0
ford,2019,13405.0
ford,2016,69829.0
ford,2019,14004.0
ford,2016,104867.0
ford,2019,13458.0
ford,2019,31727.0
ford,2019,17392.0
ford,2019,17260.0
ford,2019,40772.0
ford,2019,25046.0
ford,2014,93832.0
ford,2019,19022.0
ford,2019,28938.0
ford,2015,28801.0
ford,2019,16448.0
ford,2015,59726.0
ford,2019,14994.0
ford,2012,101848.0
ford,2019,22318.0
ford,2019,23712.0
ford,2019,22458.0
ford,2013,133314.0
ford,2019,13265.0
ford,2012,104559.0
ford,2013,82072.0
ford,2019,34191.0
ford,2014,148442.0
ford,2019,24783.0
ford,2016,54984.0
ford,2013,70106.0
ford,2019,17301.0
ford,2019,27413.0
ford,2019,39733.0
ford,2019,18762.0
ford,2019,16509.0
ford,2019,38243.0
ford,2019,23019.0
ford,2019,24765.0
ford,2019,15422.0
ford,2019,34822.0
ford,2019,19055.0
ford,2019,24272.0
ford,2019,34173.0
ford,2019,32022.0
ford,2019,33808.0
ford,2019,35221.0
ford,2019,35951.0
ford,2019,27136.0
ford,2019,36252.0
ford,2020,2452.0
ford,2012,188394.0
ford,2019,19151.0
ford,2019,44383.0
ford,2013,74195.0
ford,2019,25552.0
ford,2013,89490.0
ford,2019,6140.0
ford,2019,14939.0
ford,2014,162918.0
ford,2016,87686.0
ford,2019,23222.0
ford,2012,181316.0
ford,2015,157057.0
ford,2012,100264.0
ford,2017,35021.0
ford,2015,59869.0
ford,2016,58902.0
ford,2017,85688.0
ford,2017,43532.0
ford,2017,66366.0
ford,2019,20357.0
ford,2015,44456.0
ford,2016,147935.0
ford,2019,13644.0
ford,2013,138524.0
ford,2019,11669.0
ford,2019,25623.0
ford,2015,45218.0
ford,2019,32526.0
ford,2016,69402.0
ford,2014,76336.0
ford,2019,6711.0
ford,2020,17858.0
ford,2019,9865.0
ford,2020,12748.0
ford,2019,15821.0
ford,2020,23984.0
ford,2019,15656.0
ford,2019,45512.0
ford,2019,12198.0
ford,2016,110826.0
ford,2013,122861.0
ford,2014,125369.0
ford,2013,109600.0
ford,2013,136661.0
ford,2014,123349.0
ford,2014,77386.0
ford,2014,74181.0
ford,2014,147903.0
ford,2014,135283.0
